 
                                                                                                                                                                                                                                                                
 
 
Fit Statistics

Target=Category Target Label=Category

   Fit
Statistics    Statistics Label                     Train    Validation       Test

 _DFT_        Total Degrees of Freedom           7414.00          .           .  
 _DFE_        Degrees of Freedom for Error       7163.00          .           .  
 _DFM_        Model Degrees of Freedom            251.00          .           .  
 _NW_         Number of Estimated Weights         251.00          .           .  
 _AIC_        Akaike's Information Criterion     2237.30          .           .  
 _SBC_        Schwarz's Bayesian Criterion       3971.99          .           .  
 _ASE_        Average Squared Error                 0.05         0.06        0.06
 _MAX_        Maximum Absolute Error                1.00         1.00        1.00
 _DIV_        Divisor for ASE                    8088.00      4860.00     3288.00
 _NOBS_       Sum of Frequencies                  674.00       405.00      274.00
 _RASE_       Root Average Squared Error            0.22         0.25        0.25
 _SSE_        Sum of Squared Errors               382.09       305.06      208.16
 _SUMW_       Sum of Case Weights Times Freq     8088.00      4860.00     3288.00
 _FPE_        Final Prediction Error                0.05          .           .  
 _MSE_        Mean Squared Error                    0.05         0.06        0.06
 _RFPE_       Root Final Prediction Error           0.22          .           .  
 _RMSE_       Root Mean Squared Error               0.22         0.25        0.25
 _AVERR_      Average Error Function                0.21         0.32        0.32
 _ERR_        Error Function                     1735.30      1574.29     1044.98
 _MISC_       Misclassification Rate                0.42         0.60        0.59
 _WRONG_      Number of Wrong Classifications     285.00       242.00      163.00
 
                                                                                                                                                                                                                                                                
 
 
Classification Table

Data Role=TRAIN Target Variable=Category Target Label=Category

                                                      Target        Outcome     Frequency       Total
Target                    Outcome                   Percentage    Percentage      Count      Percentage

ADVOCATE                  BUSINESS-DEVELOPMENT         1.3699        1.7544          1         0.14837 
BUSINESS-DEVELOPMENT      BUSINESS-DEVELOPMENT        63.0137       76.6667         46         6.82493 
CONSULTANT                BUSINESS-DEVELOPMENT         5.4795        7.0175          4         0.59347 
FITNESS                   BUSINESS-DEVELOPMENT         1.3699        1.7241          1         0.14837 
HEALTHCARE                BUSINESS-DEVELOPMENT         5.4795        7.0175          4         0.59347 
OTHER                     BUSINESS-DEVELOPMENT         2.7397        3.1746          2         0.29674 
SALES                     BUSINESS-DEVELOPMENT        20.5479       25.8621         15         2.22552 
ADVOCATE                  CONSULTANT                  12.5000        5.2632          3         0.44510 
CONSULTANT                CONSULTANT                  41.6667       17.5439         10         1.48368 
DESIGNER                  CONSULTANT                   4.1667        1.8868          1         0.14837 
DIGITAL-MEDIA             CONSULTANT                   4.1667        2.1277          1         0.14837 
FITNESS                   CONSULTANT                   4.1667        1.7241          1         0.14837 
HEALTHCARE                CONSULTANT                  12.5000        5.2632          3         0.44510 
OTHER                     CONSULTANT                  20.8333        7.9365          5         0.74184 
BUSINESS-DEVELOPMENT      DESIGNER                     6.5789        8.3333          5         0.74184 
CONSULTANT                DESIGNER                    17.1053       22.8070         13         1.92878 
DESIGNER                  DESIGNER                    63.1579       90.5660         48         7.12166 
DIGITAL-MEDIA             DESIGNER                     3.9474        6.3830          3         0.44510 
HEALTHCARE                DESIGNER                     1.3158        1.7544          1         0.14837 
INFORMATION-TECHNOLOGY    DESIGNER                     1.3158        1.6949          1         0.14837 
