 
                                                                                                                                                                                                                                                                
 
 
Fit Statistics

Target=Category Target Label=Category

   Fit
Statistics    Statistics Label                     Train    Validation       Test

 _DFT_        Total Degrees of Freedom           7414.00          .           .  
 _DFE_        Degrees of Freedom for Error       7067.00          .           .  
 _DFM_        Model Degrees of Freedom            347.00          .           .  
 _NW_         Number of Estimated Weights         347.00          .           .  
 _AIC_        Akaike's Information Criterion     2779.13          .           .  
 _SBC_        Schwarz's Bayesian Criterion       5177.29          .           .  
 _ASE_        Average Squared Error                 0.06         0.07        0.06
 _MAX_        Maximum Absolute Error                1.00         1.00        1.00
 _DIV_        Divisor for ASE                    8088.00      4860.00     3288.00
 _NOBS_       Sum of Frequencies                  674.00       405.00      274.00
 _RASE_       Root Average Squared Error            0.24         0.26        0.25
 _SSE_        Sum of Squared Errors               453.68       316.47      206.76
 _SUMW_       Sum of Case Weights Times Freq     8088.00      4860.00     3288.00
 _FPE_        Final Prediction Error                0.06          .           .  
 _MSE_        Mean Squared Error                    0.06         0.07        0.06
 _RFPE_       Root Final Prediction Error           0.25          .           .  
 _RMSE_       Root Mean Squared Error               0.24         0.26        0.25
 _AVERR_      Average Error Function                0.26         0.35        0.34
 _ERR_        Error Function                     2085.13      1693.02     1113.83
 _MISC_       Misclassification Rate                0.57         0.65        0.61
 _WRONG_      Number of Wrong Classifications     385.00       265.00      166.00
 
                                                                                                                                                                                                                                                                
 
 
Classification Table

Data Role=TRAIN Target Variable=Category Target Label=Category

                                                      Target        Outcome     Frequency       Total
Target                    Outcome                   Percentage    Percentage      Count      Percentage

ADVOCATE                  BUSINESS-DEVELOPMENT         4.9383        7.0175          4         0.59347 
BUSINESS-DEVELOPMENT      BUSINESS-DEVELOPMENT        41.9753       56.6667         34         5.04451 
CONSULTANT                BUSINESS-DEVELOPMENT         1.2346        1.7544          1         0.14837 
DESIGNER                  BUSINESS-DEVELOPMENT         2.4691        3.7736          2         0.29674 
DIGITAL-MEDIA             BUSINESS-DEVELOPMENT         2.4691        4.2553          2         0.29674 
FITNESS                   BUSINESS-DEVELOPMENT         6.1728        8.6207          5         0.74184 
INFORMATION-TECHNOLOGY    BUSINESS-DEVELOPMENT         1.2346        1.6949          1         0.14837 
OTHER                     BUSINESS-DEVELOPMENT         2.4691        3.1746          2         0.29674 
SALES                     BUSINESS-DEVELOPMENT        37.0370       51.7241         30         4.45104 
ADVOCATE                  CONSULTANT                  19.0476       21.0526         12         1.78042 
BUSINESS-DEVELOPMENT      CONSULTANT                   1.5873        1.6667          1         0.14837 
CONSULTANT                CONSULTANT                  34.9206       38.5965         22         3.26409 
DESIGNER                  CONSULTANT                   7.9365        9.4340          5         0.74184 
DIGITAL-MEDIA             CONSULTANT                   1.5873        2.1277          1         0.14837 
HEALTHCARE                CONSULTANT                  17.4603       19.2982         11         1.63205 
HR                        CONSULTANT                   3.1746        3.6364          2         0.29674 
INFORMATION-TECHNOLOGY    CONSULTANT                   4.7619        5.0847          3         0.44510 
OTHER                     CONSULTANT                   7.9365        7.9365          5         0.74184 
TEACHER                   CONSULTANT                   1.5873        2.0000          1         0.14837 
ADVOCATE                  DESIGNER                     5.0000        5.2632          3         0.44510 
BUSINESS-DEVELOPMENT      DESIGNER                     8.3333        8.3333          5         0.74184 
CONSULTANT                DESIGNER                     3.3333        3.5088          2         0.29674 
DESIGNER                  DESIGNER                    73.3333       83.0189         44         6.52819 
DIGITAL-MEDIA             DESIGNER                     5.0000        6.3830          3         0.44510 
OTHER                     DESIGNER                     5.0000        4.7619          3         0.44510 
BUSINESS-DEVELOPMENT      DIGITAL-MEDIA                5.8824        1.6667          1         0.14837 
DIGITAL-MEDIA             DIGITAL-MEDIA               70.5882       25.5319         12         1.78042 
FITNESS                   DIGITAL-MEDIA                5.8824        1.7241          1         0.14837 
OTHER                     DIGITAL-MEDIA               11.7647        3.1746          2         0.29674 
SALES                     DIGITAL-MEDIA                5.8824        1.7241          1         0.14837 
ADVOCATE                  FITNESS                      6.8027       17.5439         10         1.48368 
BUSINESS-DEVELOPMENT      FITNESS                      0.6803        1.6667          1         0.14837 
CONSULTANT                FITNESS                      0.6803        1.7544          1         0.14837 
DIGITAL-MEDIA             FITNESS                     11.5646       36.1702         17         2.52226 
FITNESS                   FITNESS                     26.5306       67.2414         39         5.78635 
HEALTHCARE                FITNESS                      2.0408        5.2632          3         0.44510 
HR                        FITNESS                     21.0884       56.3636         31         4.59941 
INFORMATION-TECHNOLOGY    FITNESS                     23.1293       57.6271         34         5.04451 
OTHER                     FITNESS                      2.7211        6.3492          4         0.59347 
SALES                     FITNESS                      4.7619       12.0690          7         1.03858 
ADVOCATE                  HEALTHCARE                  12.5000       14.0351          8         1.18694 
BUSINESS-DEVELOPMENT      HEALTHCARE                   3.1250        3.3333          2         0.29674 
CONSULTANT                HEALTHCARE                  25.0000       28.0702         16         2.37389 
HEALTHCARE                HEALTHCARE                  37.5000       42.1053         24         3.56083 
HR                        HEALTHCARE                   7.8125        9.0909          5         0.74184 
INFORMATION-TECHNOLOGY    HEALTHCARE                   3.1250        3.3898          2         0.29674 
OTHER                     HEALTHCARE                   7.8125        7.9365          5         0.74184 
TEACHER                   HEALTHCARE                   3.1250        4.0000          2         0.29674 
ADVOCATE                  HR                          10.7143        5.2632          3         0.44510 
CONSULTANT                HR                           3.5714        1.7544          1         0.14837 
DIGITAL-MEDIA             HR                           3.5714        2.1277          1         0.14837 
FITNESS                   HR                           7.1429        3.4483          2         0.29674 
HEALTHCARE                HR                           3.5714        1.7544          1         0.14837 
HR                        HR                          42.8571       21.8182         12         1.78042 
INFORMATION-TECHNOLOGY    HR                          21.4286       10.1695          6         0.89021 
OTHER                     HR                           3.5714        1.5873          1         0.14837 
SALES                     HR                           3.5714        1.7241          1         0.14837 
ADVOCATE                  INFORMATION-TECHNOLOGY      14.2857        1.7544          1         0.14837 
FITNESS                   INFORMATION-TECHNOLOGY      28.5714        3.4483          2         0.29674 
HR                        INFORMATION-TECHNOLOGY      28.5714        3.6364          2         0.29674 
INFORMATION-TECHNOLOGY    INFORMATION-TECHNOLOGY      14.2857        1.6949          1         0.14837 
OTHER                     INFORMATION-TECHNOLOGY      14.2857        1.5873          1         0.14837 
ADVOCATE                  OTHER                        4.8780        7.0175          4         0.59347 
CONSULTANT                OTHER                       10.9756       15.7895          9         1.33531 
DIGITAL-MEDIA             OTHER                       12.1951       21.2766         10         1.48368 
FITNESS                   OTHER                        4.8780        6.8966          4         0.59347 
HEALTHCARE                OTHER                        2.4390        3.5088          2         0.29674 
INFORMATION-TECHNOLOGY    OTHER                       14.6341       20.3390         12         1.78042 
OTHER                     OTHER                       48.7805       63.4921         40         5.93472 
