 
                                                                                                                                                                                                                                                                
 
 
Fit Statistics

Target=Category Target Label=Category

   Fit
Statistics    Statistics Label                     Train    Validation       Test

 _DFT_        Total Degrees of Freedom           7414.00          .           .  
 _DFE_        Degrees of Freedom for Error       7268.00          .           .  
 _DFM_        Model Degrees of Freedom            146.00          .           .  
 _NW_         Number of Estimated Weights         146.00          .           .  
 _AIC_        Akaike's Information Criterion     1739.22          .           .  
 _SBC_        Schwarz's Bayesian Criterion       2748.24          .           .  
 _ASE_        Average Squared Error                 0.04         0.04        0.04
 _MAX_        Maximum Absolute Error                1.00         1.00        1.00
 _DIV_        Divisor for ASE                    8088.00      4860.00     3288.00
 _NOBS_       Sum of Frequencies                  674.00       405.00      274.00
 _RASE_       Root Average Squared Error            0.20         0.21        0.21
 _SSE_        Sum of Squared Errors               315.43       218.45      140.61
 _SUMW_       Sum of Case Weights Times Freq     8088.00      4860.00     3288.00
 _FPE_        Final Prediction Error                0.04          .           .  
 _MSE_        Mean Squared Error                    0.04         0.04        0.04
 _RFPE_       Root Final Prediction Error           0.20          .           .  
 _RMSE_       Root Mean Squared Error               0.20         0.21        0.21
 _AVERR_      Average Error Function                0.18         0.22        0.23
 _ERR_        Error Function                     1447.22      1077.32      749.38
 _MISC_       Misclassification Rate                0.33         0.40        0.36
 _WRONG_      Number of Wrong Classifications     223.00       164.00       99.00
 
                                                                                                                                                                                                                                                                
 
 
Classification Table

Data Role=TRAIN Target Variable=Category Target Label=Category

                                                      Target        Outcome     Frequency       Total
Target                    Outcome                   Percentage    Percentage      Count      Percentage

ADVOCATE                  ADVOCATE                    44.4444       14.0351          8         1.18694 
BUSINESS-DEVELOPMENT      ADVOCATE                    11.1111        3.3333          2         0.29674 
CONSULTANT                ADVOCATE                    22.2222        7.0175          4         0.59347 
OTHER                     ADVOCATE                    11.1111        3.1746          2         0.29674 
SALES                     ADVOCATE                    11.1111        3.4483          2         0.29674 
ADVOCATE                  BUSINESS-DEVELOPMENT         9.6774       10.5263          6         0.89021 
BUSINESS-DEVELOPMENT      BUSINESS-DEVELOPMENT        53.2258       55.0000         33         4.89614 
CONSULTANT                BUSINESS-DEVELOPMENT         3.2258        3.5088          2         0.29674 
DIGITAL-MEDIA             BUSINESS-DEVELOPMENT         4.8387        6.3830          3         0.44510 
FITNESS                   BUSINESS-DEVELOPMENT         8.0645        8.6207          5         0.74184 
INFORMATION-TECHNOLOGY    BUSINESS-DEVELOPMENT         1.6129        1.6949          1         0.14837 
OTHER                     BUSINESS-DEVELOPMENT         8.0645        7.9365          5         0.74184 
SALES                     BUSINESS-DEVELOPMENT        11.2903       12.0690          7         1.03858 
ADVOCATE                  CONSULTANT                  18.1818       14.0351          8         1.18694 
CONSULTANT                CONSULTANT                  45.4545       35.0877         20         2.96736 
DESIGNER                  CONSULTANT                   9.0909        7.5472          4         0.59347 
DIGITAL-MEDIA             CONSULTANT                   4.5455        4.2553          2         0.29674 
HEALTHCARE                CONSULTANT                   6.8182        5.2632          3         0.44510 
OTHER                     CONSULTANT                  15.9091       11.1111          7         1.03858 
BUSINESS-DEVELOPMENT      DESIGNER                     1.9231        1.6667          1         0.14837 
CONSULTANT                DESIGNER                     1.9231        1.7544          1         0.14837 
DESIGNER                  DESIGNER                    88.4615       86.7925         46         6.82493 
HEALTHCARE                DESIGNER                     1.9231        1.7544          1         0.14837 
INFORMATION-TECHNOLOGY    DESIGNER                     1.9231        1.6949          1         0.14837 
SALES                     DESIGNER                     3.8462        3.4483          2         0.29674 
BUSINESS-DEVELOPMENT      DIGITAL-MEDIA               10.9091       10.0000          6         0.89021 
CONSULTANT                DIGITAL-MEDIA               12.7273       12.2807          7         1.03858 
DESIGNER                  DIGITAL-MEDIA                3.6364        3.7736          2         0.29674 
DIGITAL-MEDIA             DIGITAL-MEDIA               67.2727       78.7234         37         5.48961 
HEALTHCARE                DIGITAL-MEDIA                1.8182        1.7544          1         0.14837 
OTHER                     DIGITAL-MEDIA                3.6364        3.1746          2         0.29674 
ADVOCATE                  FITNESS                      7.9365        8.7719          5         0.74184 
BUSINESS-DEVELOPMENT      FITNESS                     11.1111       11.6667          7         1.03858 
FITNESS                   FITNESS                     73.0159       79.3103         46         6.82493 
OTHER                     FITNESS                      1.5873        1.5873          1         0.14837 
SALES                     FITNESS                      6.3492        6.8966          4         0.59347 
ADVOCATE                  HEALTHCARE                  10.6061       12.2807          7         1.03858 
CONSULTANT                HEALTHCARE                  13.6364       15.7895          9         1.33531 
DESIGNER                  HEALTHCARE                   1.5152        1.8868          1         0.14837 
HEALTHCARE                HEALTHCARE                  68.1818       78.9474         45         6.67656 
