 
                                                                                                                                                                                                                                                                
 
 
Fit Statistics

Target=Category Target Label=Category

   Fit
Statistics    Statistics Label                    Train    Validation       Test

 _AIC_        Akaike's Information Criterion    1460.47          .           .  
 _ASE_        Average Squared Error                0.04         0.04        0.04
 _AVERR_      Average Error Function               0.15         0.21        0.19
 _DFE_        Degrees of Freedom for Error      7304.00          .           .  
 _DFM_        Model Degrees of Freedom           110.00          .           .  
 _DFT_        Total Degrees of Freedom          7414.00          .           .  
 _DIV_        Divisor for ASE                   8088.00      4860.00     3288.00
 _ERR_        Error Function                    1240.47      1020.95      627.54
 _FPE_        Final Prediction Error               0.04          .           .  
 _MAX_        Maximum Absolute Error               1.00         1.00        1.00
 _MSE_        Mean Square Error                    0.04         0.04        0.04
 _NOBS_       Sum of Frequencies                 674.00       405.00      274.00
 _NW_         Number of Estimate Weights         110.00          .           .  
 _RASE_       Root Average Sum of Squares          0.19         0.20        0.20
 _RFPE_       Root Final Prediction Error          0.19          .           .  
 _RMSE_       Root Mean Squared Error              0.19         0.20        0.20
 _SBC_        Schwarz's Bayesian Criterion      2220.69          .           .  
 _SSE_        Sum of Squared Errors              292.04       193.79      126.05
 _SUMW_       Sum of Case Weights Times Freq    8088.00      4860.00     3288.00
 _MISC_       Misclassification Rate               0.33         0.33        0.32
 
                                                                                                                                                                                                                                                                
 
 
Classification Table

Data Role=TRAIN Target Variable=Category Target Label=Category

                                                      Target        Outcome     Frequency       Total
Target                    Outcome                   Percentage    Percentage      Count      Percentage

ADVOCATE                  ADVOCATE                    52.3810       38.5965         22         3.26409 
BUSINESS-DEVELOPMENT      ADVOCATE                     2.3810        1.6667          1         0.14837 
DESIGNER                  ADVOCATE                     2.3810        1.8868          1         0.14837 
FITNESS                   ADVOCATE                     7.1429        5.1724          3         0.44510 
HEALTHCARE                ADVOCATE                    11.9048        8.7719          5         0.74184 
HR                        ADVOCATE                     4.7619        3.6364          2         0.29674 
INFORMATION-TECHNOLOGY    ADVOCATE                     2.3810        1.6949          1         0.14837 
OTHER                     ADVOCATE                    11.9048        7.9365          5         0.74184 
SALES                     ADVOCATE                     2.3810        1.7241          1         0.14837 
TEACHER                   ADVOCATE                     2.3810        2.0000          1         0.14837 
ADVOCATE                  BUSINESS-DEVELOPMENT         1.4493        1.7544          1         0.14837 
BUSINESS-DEVELOPMENT      BUSINESS-DEVELOPMENT        53.6232       61.6667         37         5.48961 
CONSULTANT                BUSINESS-DEVELOPMENT         5.7971        7.0175          4         0.59347 
DIGITAL-MEDIA             BUSINESS-DEVELOPMENT         7.2464       10.6383          5         0.74184 
FITNESS                   BUSINESS-DEVELOPMENT         1.4493        1.7241          1         0.14837 
HEALTHCARE                BUSINESS-DEVELOPMENT         5.7971        7.0175          4         0.59347 
OTHER                     BUSINESS-DEVELOPMENT        14.4928       15.8730         10         1.48368 
SALES                     BUSINESS-DEVELOPMENT        10.1449       12.0690          7         1.03858 
ADVOCATE                  CONSULTANT                   4.8387        5.2632          3         0.44510 
BUSINESS-DEVELOPMENT      CONSULTANT                   3.2258        3.3333          2         0.29674 
CONSULTANT                CONSULTANT                  48.3871       52.6316         30         4.45104 
DESIGNER                  CONSULTANT                   1.6129        1.8868          1         0.14837 
DIGITAL-MEDIA             CONSULTANT                   6.4516        8.5106          4         0.59347 
HEALTHCARE                CONSULTANT                  11.2903       12.2807          7         1.03858 
INFORMATION-TECHNOLOGY    CONSULTANT                   6.4516        6.7797          4         0.59347 
OTHER                     CONSULTANT                  14.5161       14.2857          9         1.33531 
SALES                     CONSULTANT                   3.2258        3.4483          2         0.29674 
BUSINESS-DEVELOPMENT      DESIGNER                     3.6364        3.3333          2         0.29674 
CONSULTANT                DESIGNER                     1.8182        1.7544          1         0.14837 
DESIGNER                  DESIGNER                    85.4545       88.6792         47         6.97329 
DIGITAL-MEDIA             DESIGNER                     1.8182        2.1277          1         0.14837 
SALES                     DESIGNER                     5.4545        5.1724          3         0.44510 
TEACHER                   DESIGNER                     1.8182        2.0000          1         0.14837 
BUSINESS-DEVELOPMENT      DIGITAL-MEDIA                6.6667        5.0000          3         0.44510 
CONSULTANT                DIGITAL-MEDIA                6.6667        5.2632          3         0.44510 
DESIGNER                  DIGITAL-MEDIA                2.2222        1.8868          1         0.14837 
DIGITAL-MEDIA             DIGITAL-MEDIA               71.1111       68.0851         32         4.74777 
FITNESS                   DIGITAL-MEDIA                2.2222        1.7241          1         0.14837 
HEALTHCARE                DIGITAL-MEDIA                4.4444        3.5088          2         0.29674 
INFORMATION-TECHNOLOGY    DIGITAL-MEDIA                2.2222        1.6949          1         0.14837 
OTHER                     DIGITAL-MEDIA                2.2222        1.5873          1         0.14837 
SALES                     DIGITAL-MEDIA                2.2222        1.7241          1         0.14837 
ADVOCATE                  FITNESS                      5.8824        5.2632          3         0.44510 
BUSINESS-DEVELOPMENT      FITNESS                      3.9216        3.3333          2         0.29674 
FITNESS                   FITNESS                     86.2745       75.8621         44         6.52819 
OTHER                     FITNESS                      1.9608        1.5873          1         0.14837 
SALES                     FITNESS                      1.9608        1.7241          1         0.14837 
ADVOCATE                  HEALTHCARE                  19.6721       21.0526         12         1.78042 
BUSINESS-DEVELOPMENT      HEALTHCARE                   4.9180        5.0000          3         0.44510 
CONSULTANT                HEALTHCARE                   9.8361       10.5263          6         0.89021 
DIGITAL-MEDIA             HEALTHCARE                   1.6393        2.1277          1         0.14837 
HEALTHCARE                HEALTHCARE                  55.7377       59.6491         34         5.04451 
INFORMATION-TECHNOLOGY    HEALTHCARE                   1.6393        1.6949          1         0.14837 
OTHER                     HEALTHCARE                   3.2787        3.1746          2         0.29674 
SALES                     HEALTHCARE                   3.2787        3.4483          2         0.29674 
ADVOCATE                  HR                           4.9180        5.2632          3         0.44510 
BUSINESS-DEVELOPMENT      HR                           1.6393        1.6667          1         0.14837 
FITNESS                   HR                           1.6393        1.7241          1         0.14837 
HEALTHCARE                HR                           1.6393        1.7544          1         0.14837 
HR                        HR                          86.8852       96.3636         53         7.86350 
OTHER                     HR                           1.6393        1.5873          1         0.14837 
SALES                     HR                           1.6393        1.7241          1         0.14837 
ADVOCATE                  INFORMATION-TECHNOLOGY       1.5625        1.7544          1         0.14837 
BUSINESS-DEVELOPMENT      INFORMATION-TECHNOLOGY       1.5625        1.6667          1         0.14837 
CONSULTANT                INFORMATION-TECHNOLOGY       7.8125        8.7719          5         0.74184 
DESIGNER                  INFORMATION-TECHNOLOGY       1.5625        1.8868          1         0.14837 
DIGITAL-MEDIA             INFORMATION-TECHNOLOGY       4.6875        6.3830          3         0.44510 
INFORMATION-TECHNOLOGY    INFORMATION-TECHNOLOGY      76.5625       83.0508         49         7.27003 
OTHER                     INFORMATION-TECHNOLOGY       4.6875        4.7619          3         0.44510 
SALES                     INFORMATION-TECHNOLOGY       1.5625        1.7241          1         0.14837 
ADVOCATE                  OTHER                       10.8696        8.7719          5         0.74184 
BUSINESS-DEVELOPMENT      OTHER                        6.5217        5.0000          3         0.44510 
CONSULTANT                OTHER                       13.0435       10.5263          6         0.89021 
DESIGNER                  OTHER                        2.1739        1.8868          1         0.14837 
DIGITAL-MEDIA             OTHER                        2.1739        2.1277          1         0.14837 
FITNESS                   OTHER                        4.3478        3.4483          2         0.29674 
HEALTHCARE                OTHER                        2.1739        1.7544          1         0.14837 
INFORMATION-TECHNOLOGY    OTHER                        4.3478        3.3898          2         0.29674 
OTHER                     OTHER                       47.8261       34.9206         22         3.26409 
SALES                     OTHER                        6.5217        5.1724          3         0.44510 
ADVOCATE                  SALES                        8.0645        8.7719          5         0.74184 
BUSINESS-DEVELOPMENT      SALES                        8.0645        8.3333          5         0.74184 
CONSULTANT                SALES                        3.2258        3.5088          2         0.29674 
DESIGNER                  SALES                        1.6129        1.8868          1         0.14837 
FITNESS                   SALES                        8.0645        8.6207          5         0.74184 
HEALTHCARE                SALES                        1.6129        1.7544          1         0.14837 
OTHER                     SALES                       12.9032       12.6984          8         1.18694 
SALES                     SALES                       56.4516       60.3448         35         5.19288 
ADVOCATE                  TEACHER                      3.5714        3.5088          2         0.29674 
