 
                                                                                                                                                                                                                                                                
 
 
Fit Statistics

Target=Category Target Label=Category

   Fit
Statistics    Statistics Label                    Train    Validation       Test

 _AIC_        Akaike's Information Criterion    1511.54          .           .  
 _ASE_        Average Squared Error                0.04         0.04        0.04
 _AVERR_      Average Error Function               0.16         0.20        0.19
 _DFE_        Degrees of Freedom for Error      7315.00          .           .  
 _DFM_        Model Degrees of Freedom            99.00          .           .  
 _DFT_        Total Degrees of Freedom          7414.00          .           .  
 _DIV_        Divisor for ASE                   8088.00      4860.00     3288.00
 _ERR_        Error Function                    1313.54       965.02      620.26
 _FPE_        Final Prediction Error               0.04          .           .  
 _MAX_        Maximum Absolute Error               1.00         1.00        1.00
 _MSE_        Mean Square Error                    0.04         0.04        0.04
 _NOBS_       Sum of Frequencies                 674.00       405.00      274.00
 _NW_         Number of Estimate Weights          99.00          .           .  
 _RASE_       Root Average Sum of Squares          0.19         0.20        0.20
 _RFPE_       Root Final Prediction Error          0.20          .           .  
 _RMSE_       Root Mean Squared Error              0.20         0.20        0.20
 _SBC_        Schwarz's Bayesian Criterion      2195.75          .           .  
 _SSE_        Sum of Squared Errors              305.55       199.24      126.88
 _SUMW_       Sum of Case Weights Times Freq    8088.00      4860.00     3288.00
 _MISC_       Misclassification Rate               0.33         0.34        0.32
 
                                                                                                                                                                                                                                                                
 
 
Classification Table

Data Role=TRAIN Target Variable=Category Target Label=Category

                                                      Target        Outcome     Frequency       Total
Target                    Outcome                   Percentage    Percentage      Count      Percentage

ADVOCATE                  ADVOCATE                    42.0000       36.8421         21         3.11573 
BUSINESS-DEVELOPMENT      ADVOCATE                     4.0000        3.3333          2         0.29674 
CONSULTANT                ADVOCATE                     2.0000        1.7544          1         0.14837 
DESIGNER                  ADVOCATE                     2.0000        1.8868          1         0.14837 
DIGITAL-MEDIA             ADVOCATE                     2.0000        2.1277          1         0.14837 
FITNESS                   ADVOCATE                    10.0000        8.6207          5         0.74184 
HEALTHCARE                ADVOCATE                    14.0000       12.2807          7         1.03858 
HR                        ADVOCATE                     4.0000        3.6364          2         0.29674 
INFORMATION-TECHNOLOGY    ADVOCATE                     4.0000        3.3898          2         0.29674 
OTHER                     ADVOCATE                    10.0000        7.9365          5         0.74184 
SALES                     ADVOCATE                     2.0000        1.7241          1         0.14837 
TEACHER                   ADVOCATE                     4.0000        4.0000          2         0.29674 
ADVOCATE                  BUSINESS-DEVELOPMENT         1.4493        1.7544          1         0.14837 
BUSINESS-DEVELOPMENT      BUSINESS-DEVELOPMENT        56.5217       65.0000         39         5.78635 
CONSULTANT                BUSINESS-DEVELOPMENT         5.7971        7.0175          4         0.59347 
DIGITAL-MEDIA             BUSINESS-DEVELOPMENT         2.8986        4.2553          2         0.29674 
FITNESS                   BUSINESS-DEVELOPMENT         5.7971        6.8966          4         0.59347 
HEALTHCARE                BUSINESS-DEVELOPMENT         7.2464        8.7719          5         0.74184 
OTHER                     BUSINESS-DEVELOPMENT        11.5942       12.6984          8         1.18694 
